Zone,Date,Flags
esquimalt-north-blue,2011-01-13,G
esquimalt-north-blue,2011-01-27,G
esquimalt-north-blue,2011-02-10,G
esquimalt-north-blue,2011-02-24,G
esquimalt-north-blue,2011-03-10,G
esquimalt-north-blue,2011-03-24,G
esquimalt-north-blue,2011-04-07,G
esquimalt-north-blue,2011-04-21,G
esquimalt-north-blue,2011-05-05,G
esquimalt-north-blue,2011-05-19,G
esquimalt-north-blue,2011-06-02,G
esquimalt-north-blue,2011-06-16,G
esquimalt-north-blue,2011-06-30,G
esquimalt-north-blue,2011-07-14,G
esquimalt-north-blue,2011-7-28,G
esquimalt-north-blue,2011-8-11,G
esquimalt-north-blue,2011-8-25,G
esquimalt-north-blue,2011-9-8,G
esquimalt-north-blue,2011-9-22,G
esquimalt-north-blue,2011-10-6,G
esquimalt-north-blue,2011-10-20,G
esquimalt-north-blue,2011-11-3,G
esquimalt-north-blue,2011-11-17,G
esquimalt-north-blue,2011-12-1,G
esquimalt-north-blue,2011-12-15,G
esquimalt-north-blue,2011-12-29,G
esquimalt-north-green,2011-1-10,G
esquimalt-north-green,2011-1-24,G
esquimalt-north-green,2011-2-7,G
esquimalt-north-green,2011-2-21,G
esquimalt-north-green,2011-3-7,G
esquimalt-north-green,2011-3-21,G
esquimalt-north-green,2011-4-4,G
esquimalt-north-green,2011-4-18,G
esquimalt-north-green,2011-5-2,G
esquimalt-north-green,2011-5-16,G
esquimalt-north-green,2011-5-30,G
esquimalt-north-green,2011-6-13,G
esquimalt-north-green,2011-6-27,G
esquimalt-north-green,2011-7-11,G
esquimalt-north-green,2011-7-25,G
esquimalt-north-green,2011-8-8,G
esquimalt-north-green,2011-8-22,G
esquimalt-north-green,2011-9-19,G
esquimalt-north-green,2011-10-3,G
esquimalt-north-green,2011-10-17,G
esquimalt-north-green,2011-10-31,G
esquimalt-north-green,2011-11-14,G
esquimalt-north-green,2011-11-28,G
esquimalt-north-green,2011-12-12,G
esquimalt-north-orange,2011-1-12,G
esquimalt-north-orange,2011-1-26,G
