Zone,Date,Flags
victoria-blue,2011-01-04,2g
victoria-blue,2011-01-11,g
victoria-blue,2011-01-18,g
victoria-blue,2011-01-25,g
victoria-blue,2011-02-01,g
victoria-blue,2011-02-08,g
victoria-blue,2011-02-15,g
victoria-blue,2011-02-22,g
victoria-blue,2011-03-01,g
victoria-blue,2011-03-08,g
victoria-blue,2011-03-15,g
victoria-blue,2011-03-22,g
victoria-blue,2011-03-29,g
victoria-blue,2011-04-05,g
victoria-blue,2011-04-12,g
victoria-blue,2011-04-19,g
victoria-blue,2011-04-28,g
victoria-blue,2011-05-05,g
victoria-blue,2011-05-12,g
victoria-blue,2011-05-19,g
victoria-blue,2011-05-27,g
victoria-blue,2011-06-03,g
victoria-blue,2011-06-10,g
victoria-blue,2011-06-17,g
victoria-blue,2011-06-24,g
victoria-blue,2011-07-04,2g
victoria-blue,2011-07-11,g
victoria-blue,2011-07-18,g
victoria-blue,2011-07-25,g
victoria-blue,2011-08-02,g
victoria-blue,2011-08-09,g
victoria-blue,2011-08-16,g
victoria-blue,2011-08-23,g
victoria-blue,2011-08-30,g
victoria-blue,2011-09-07,g
victoria-blue,2011-09-14,g
victoria-blue,2011-09-21,g
victoria-blue,2011-09-28,g
victoria-blue,2011-10-05,g
victoria-blue,2011-10-13,g
victoria-blue,2011-10-20,g
victoria-blue,2011-10-27,g
victoria-blue,2011-11-03,g
victoria-blue,2011-11-10,g
victoria-blue,2011-11-18,g
victoria-blue,2011-11-25,g
victoria-blue,2011-12-02,g
victoria-blue,2011-12-09,gf
victoria-blue,2011-12-16,g
victoria-blue,2011-12-23,g
victoria-green,2011-01-05,2g
victoria-green,2011-01-12,g
victoria-green,2011-01-19,g
victoria-green,2011-01-26,g
victoria-green,2011-02-02,g
victoria-green,2011-02-09,g
victoria-green,2011-02-16,g
victoria-green,2011-02-23,g
victoria-green,2011-03-02,g
victoria-green,2011-03-09,g
victoria-green,2011-03-16,g
victoria-green,2011-03-23,g
victoria-green,2011-03-30,g
victoria-green,2011-04-06,g
victoria-green,2011-04-13,g
victoria-green,2011-04-20,g
victoria-green,2011-04-29,g
victoria-green,2011-05-06,g
victoria-green,2011-05-13,g
victoria-green,2011-05-20,g
victoria-green,2011-05-30,2g
victoria-green,2011-06-06,g
victoria-green,2011-06-13,g
victoria-green,2011-06-20,g
victoria-green,2011-06-27,g
victoria-green,2011-07-05,g
victoria-green,2011-07-12,g
victoria-green,2011-07-19,g
victoria-green,2011-07-26,g
victoria-green,2011-08-03,g
victoria-green,2011-08-10,g
victoria-green,2011-08-17,g
victoria-green,2011-08-24,g
victoria-green,2011-08-31,g
victoria-green,2011-09-08,g
victoria-green,2011-09-15,g
victoria-green,2011-09-22,g
victoria-green,2011-09-29,g
victoria-green,2011-10-06,g
victoria-green,2011-10-14,g
victoria-green,2011-10-21,g
victoria-green,2011-10-28,g
victoria-green,2011-11-04,g
victoria-green,2011-11-14,2g
victoria-green,2011-11-21,g
victoria-green,2011-11-28,g
victoria-green,2011-12-05,gf
victoria-green,2011-12-12,g
victoria-green,2011-12-19,g
victoria-green,2011-12-28,g
victoria-orange,2011-01-06,g
victoria-orange,2011-01-13,g
victoria-orange,2011-01-20,g
victoria-orange,2011-01-27,g
victoria-orange,2011-02-03,g
victoria-orange,2011-02-10,g
victoria-orange,2011-02-17,g
victoria-orange,2011-02-24,g
victoria-orange,2011-03-03,g
victoria-orange,2011-03-10,g
victoria-orange,2011-03-17,g
victoria-orange,2011-03-24,g
victoria-orange,2011-03-31,g
victoria-orange,2011-04-07,g
victoria-orange,2011-04-14,g
victoria-orange,2011-04-21,g
victoria-orange,2011-05-02,2g
victoria-orange,2011-05-09,g
victoria-orange,2011-05-16,g
victoria-orange,2011-05-24,g
victoria-orange,2011-05-31,g
victoria-orange,2011-06-07,g
victoria-orange,2011-06-14,g
victoria-orange,2011-06-21,g
victoria-orange,2011-06-28,g
victoria-orange,2011-07-06,g
victoria-orange,2011-07-13,g
victoria-orange,2011-07-20,g
victoria-orange,2011-07-27,g
victoria-orange,2011-08-04,g
victoria-orange,2011-08-11,g
victoria-orange,2011-08-18,g
victoria-orange,2011-08-25,g
victoria-orange,2011-09-01,g
victoria-orange,2011-09-09,g
victoria-orange,2011-09-16,g
victoria-orange,2011-09-23,g
victoria-orange,2011-09-30,g
victoria-orange,2011-10-07,g
victoria-orange,2011-10-17,2g
victoria-orange,2011-10-24,g
victoria-orange,2011-10-31,g
victoria-orange,2011-11-07,g
victoria-orange,2011-11-15,g
victoria-orange,2011-11-22,g
victoria-orange,2011-11-29,g
victoria-orange,2011-12-06,gf
victoria-orange,2011-12-13,g
victoria-orange,2011-12-20,g
victoria-orange,2011-12-29,g
victoria-pink,2011-01-03,g
victoria-pink,2011-01-10,2g
victoria-pink,2011-01-17,g
victoria-pink,2011-01-24,g
victoria-pink,2011-01-31,g
victoria-pink,2011-02-07,g
victoria-pink,2011-02-14,g
victoria-pink,2011-02-21,g
victoria-pink,2011-02-28,g
victoria-pink,2011-03-07,g
victoria-pink,2011-03-14,g
victoria-pink,2011-03-21,g
victoria-pink,2011-03-28,g
victoria-pink,2011-04-04,g
victoria-pink,2011-04-11,g
victoria-pink,2011-04-18,g
victoria-pink,2011-04-27,g
victoria-pink,2011-05-04,g
victoria-pink,2011-05-11,g
victoria-pink,2011-05-18,g
victoria-pink,2011-05-26,g
victoria-pink,2011-06-02,g
victoria-pink,2011-06-09,g
victoria-pink,2011-06-16,g
victoria-pink,2011-06-23,g
victoria-pink,2011-06-30,g
victoria-pink,2011-07-08,g
victoria-pink,2011-07-15,g
victoria-pink,2011-07-22,g
victoria-pink,2011-07-29,g
victoria-pink,2011-08-08,2g
victoria-pink,2011-08-15,g
victoria-pink,2011-08-22,g
victoria-pink,2011-08-29,g
victoria-pink,2011-09-06,g
victoria-pink,2011-09-13,g
victoria-pink,2011-09-20,g
victoria-pink,2011-09-27,g
victoria-pink,2011-10-04,g
victoria-pink,2011-10-12,g
victoria-pink,2011-10-19,g
